address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mls®_number,source,frontage,lot_size,year_built,depth,half_bathrooms,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry
751 Kenwood Road,4380000,7229,,6.0,5.0,house,,freehold nonstrata,forced air,"garden, sprinkler - inground","golf course nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,british properties,180 days,879.0,r2732968,rebgv,128.00 feet,14272,1993,132,1.0,128,128,30.0,0,2,0,0,0,0
1355 Sinclair Street,3280000,7121,,4.0,3.0,house,,freehold nonstrata,forced air,"cul-de-sac, security system, vacuum - built in, vaulted ceiling","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,ambleside,198 days,1650.0,r2728481,rebgv,50.00 feet,,1978,,1.0,,,45.0,0,2,0,0,0,0
5055 Georgia Street,2450000,5570,,7.0,4.0,house,,freehold nonstrata,"baseboard,forced air,natural gas",,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,capitol hill,2 days,25.0,r2768815,rebgv,66.00 feet,8052,1966,122,0.0,66,66,57.0,0,2,0,0,-1,0
6166 Aubrey Street,2090000,5693,,6.0,2.0,house,,freehold nonstrata,"electric,forced air",,"golf course nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,parkcrest,2 days,55.0,r2768866,rebgv,60.00 feet,7320,1967,122,1.0,60,60,56.0,0,2,0,0,-1,0
7406 Imperial Street,1749000,4639,,5.0,3.0,house,,freehold nonstrata,radiant,,"community meals, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",highgate,2 days,32.0,r2768950,rebgv,95.00 feet,6650,1955,70,1.0,95,95,68.0,0,2,0,0,-1,0
8040 16th Avenue,1999999,5595,,6.0,5.0,house,,freehold nonstrata,,,"recreation nearby, shopping nearby",,east burnaby,2 days,921.0,r2769193,rebgv,47.00 feet,6486,2006,138,0.0,47,47,17.0,0,2,0,0,-1,0
8395 Hollis Place,3380000,7437,,8.0,5.0,house,,freehold nonstrata,"heat recovery ventilator, hot water,natural gas,radiant","cul-de-sac, heat recovery ventilator, oven - built in, security system","air conditioning, golf course nearby, recreation nearby, shopping nearby","clothes washer/dryer, dishwasher, microwave, refrigerator, stove",south slope,57 days,2553.0,r2754151,rebgv,26.60 feet,8106,2012,130/109/127,1.0,26,26,11.0,0,2,1,0,0,0
6870 Hycrest Drive,1699000,5273,,3.0,1.0,house,,freehold nonstrata,,,"recreation nearby, shopping nearby",,montecito,2 days,74.0,r2768637,rebgv,70.00 feet,7990,1962,114/72/125,2.0,70,70,61.0,1,-1,1,0,-1,0
12 N Holdom Avenue,1799000,5174,,4.0,3.0,house,,freehold nonstrata,"hot water,natural gas","drapes/window coverings, fireplace insert, windows - thermo",,"microwave, washer/dryer/fridge/stove/dishwasher",capitol hill,2 days,71.0,r2768518,rebgv,46.00 feet,5612,1959,122,0.0,46,46,64.0,0,2,0,0,0,0
5572 Forglen Drive,2280000,5586,,4.0,3.0,house,,freehold nonstrata,forced air,"drapes/window coverings, fireplace insert, security system","air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,forest glen,4 days,1144.0,r2768734,rebgv,60.00 feet,7200,1959,120,0.0,60,60,64.0,0,2,0,0,0,0
3818 Kincaid Street,1638000,5208,,3.0,1.0,house,,freehold nonstrata,"forced air,natural gas",drapes/window coverings,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",burnaby hospital,5 days,299.0,r2768317,rebgv,50.00 feet,6100,1950,122,0.0,50,50,73.0,1,-1,1,0,0,0
6790 Winch Street,3499000,8543,,5.0,5.0,house,,freehold nonstrata,radiant,"garage door opener, security system, vacuum - built in, wet bar","air conditioning, central air conditioning","clothes washer/dryer, dishwasher, range top, refrigerator",sperling-duthie,6 days,464.0,r2768023,rebgv,66.00 feet,8059,2020,122,1.0,66,66,3.0,0,2,1,0,1,0
2220 Dauphin Place,1999900,5629,,4.0,2.0,house,,freehold nonstrata,"forced air,natural gas","cul-de-sac, drapes/window coverings, security system","air conditioning, golf course nearby, recreation nearby, shopping nearby","washer/dryer/fridge/stove/dishwasher, wine cooler",parkcrest,6 days,1172.0,r2767769,rebgv,60.00 feet,7372,1971,123,1.0,60,60,52.0,0,3,0,0,0,0
4741 Ridgelawn Drive,1838000,5671,,3.0,1.0,house,,freehold nonstrata,,,"golf course nearby, recreation nearby, shopping nearby",,brentwood park,7 days,504.0,r2767616,rebgv,60.00 feet,,1955,,1.0,,,68.0,0,2,0,0,-1,0
55 N Fell Avenue,1599000,4682,,3.0,2.0,house,,freehold nonstrata,forced air,"drapes/window coverings, storage shed",shopping nearby,washer/dryer/fridge/stove/dishwasher,capitol hill,7 days,990.0,r2767592,rebgv,33.00 feet,4026,1929,122,0.0,33,33,94.0,0,2,0,0,0,0
24 N Stratford Avenue,1950000,5345,,4.0,3.0,house,,freehold nonstrata,"natural gas,radiant",drapes/window coverings,,washer/dryer/fridge/stove/dishwasher,capitol hill,8 days,550.0,r2766013,rebgv,29.82 feet,,1994,,1.0,,,29.0,0,2,1,0,0,0
7464 Kilrea Crescent,2499880,5024,,5.0,3.0,house,,freehold nonstrata,forced air,drapes/window coverings,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,montecito,20 days,1411.0,r2764111,rebgv,57.84 feet,7193,1978,120.40,0.0,57,57,45.0,0,2,0,0,0,0
7045 Ridge Drive,2999000,0,,7.0,5.0,house,,freehold nonstrata,"heat recovery ventilator, radiant","drapes/window coverings, heat recovery ventilator, security system","air conditioning, golf course nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,westridge,9 days,647.0,r2766353,rebgv,60.00 feet,7200,2023,120,1.0,60,60,0.0,0,2,1,0,0,0
8768 Armstrong Avenue,3098000,7306,,7.0,6.0,house,,freehold nonstrata,"heat recovery ventilator, radiant","drapes/window coverings, garage door opener, heat recovery ventilator, hot tub spa/swirlpool",air conditioning,washer/dryer/fridge/stove/dishwasher,the crest,16 days,847.0,r2764933,rebgv,60.00 feet,9900,2011,165,2.0,60,60,12.0,0,2,1,0,1,0
6340 Buchanan Street,1775000,5362,,3.0,1.0,house,,freehold nonstrata,forced air,,"golf course nearby, recreation nearby, shopping nearby","refrigerator, stove",parkcrest,9 days,711.0,r2766314,rebgv,60.00 feet,7200,1951,120,0.0,60,60,72.0,0,1,0,0,-1,0
3749 Southwood Street,3398000,7435,,8.0,7.0,house,,freehold nonstrata,radiant,drapes/window coverings,"air conditioning, central air conditioning, community meals","in suite laundry, washer/dryer/fridge/stove/dishwasher",suncrest,16 days,610.0,r2764954,rebgv,59.00 feet,7080,2019,120,2.0,59,59,4.0,0,2,1,0,0,0
1495 Willingdon Avenue,2680000,5231,,8.0,6.0,house,,freehold nonstrata,,,"recreation nearby, shopping nearby",,willingdon heights,13 days,630.0,r2758057,rebgv,50.00 feet,6100,1993,122,1.0,50,50,30.0,0,2,1,0,-1,0
4851 Carson Place,1899900,5464,,3.0,2.0,house,,freehold nonstrata,"forced air,natural gas","security system, smoke alarm, wet bar, windows - thermo",storage,washer/dryer/fridge/stove/dishwasher,south slope,16 days,901.0,r2764722,rebgv,0.00 feet,,1963,,1.0,,,60.0,0,2,0,0,0,0
6160-6162 Marine Drive,2499998,5240,,11.0,6.0,house,,freehold nonstrata,,,,,south slope,19 days,959.0,r2763730,rebgv,75.00 feet,,1984,,1.0,,,39.0,0,2,0,0,-1,0
2479 Duthie Avenue,2359000,6235,,6.0,4.0,house,,freehold nonstrata,hot water,,shopping nearby,washer/dryer/fridge/stove/dishwasher,montecito,21 days,3619.0,r2763953,rebgv,60.00 feet,,1994,,1.0,,,29.0,0,2,1,0,-1,0
5865 Sperling Avenue,4188000,8527,,7.0,6.0,house,,freehold nonstrata,"heat recovery ventilator, radiant","fireplace insert, garden, heat recovery ventilator, intercom, security system, sprinkler - fire, vacuum - built in, wet bar","air conditioning, central air conditioning","in suite laundry, range top, washer/dryer/fridge/stove/dishwasher",deer lake,25 days,1058.0,r2762377,rebgv,0.00 feet,,2020,,1.0,,,3.0,0,2,1,0,0,0
2220 Windwood Place,2480000,5689,,7.0,5.0,house,,freehold nonstrata,"baseboard,hot water",drapes/window coverings,shopping nearby,"in suite laundry, washer/dryer/fridge/stove/dishwasher",forest hills,22 days,1263.0,r2763712,rebgv,71.00 feet,7244,1983,110,1.0,71,71,40.0,0,2,1,0,0,0
7629 6th Street,2967000,3941,,0.0,0.0,house,,freehold nonstrata,,,,,east burnaby,27 days,121.0,r2762063,rebgv,60.00 feet,6000,,100,0.0,60,60,,0,1,0,0,-1,0
6565 Sumas Drive,2399000,5913,,7.0,2.0,house,,freehold nonstrata,,cul-de-sac,recreation nearby,,parkcrest,23 days,847.0,r2762873,rebgv,70.00 feet,10686,1964,153,1.0,70,70,59.0,0,2,0,0,0,0
7873 14th Avenue,2967000,4582,,0.0,0.0,house,,freehold nonstrata,,,,,east burnaby,27 days,94.0,r2762066,rebgv,50.00 feet,6000,1984,120,0.0,50,50,39.0,0,-1,0,0,-1,0
4456 Irmin Street,2290000,5120,,5.0,4.0,house,,freehold nonstrata,"forced air,natural gas",,,"microwave, washer/dryer/fridge/stove/dishwasher",metrotown,23 days,1298.0,r2762771,rebgv,42.00 feet,5460,1971,130,0.0,42,42,52.0,1,-1,1,0,-1,0
7639 6th Street,2967000,11010,,0.0,0.0,house,,freehold nonstrata,,,,,east burnaby,27 days,58.0,r2762064,rebgv,60.00 feet,6000,,100,0.0,60,60,,0,-1,0,0,-1,0
4868 Smith Avenue,3488000,8748,,7.0,6.0,house,,freehold nonstrata,radiant,drapes/window coverings,air conditioning,washer/dryer/fridge/stove/dishwasher,central park,23 days,4282.0,r2763413,rebgv,58.00 feet,6728,2020,116,1.0,58,58,3.0,0,2,1,0,0,0
6138 Winch Street,3488000,7770,,8.0,6.0,house,,freehold nonstrata,"hot water,natural gas,radiant","garage door opener, jetted bathtub, other - see remarks, oven - built in","air conditioning, recreation nearby, shopping nearby","dishwasher, disposal - waste, microwave, refrigerator, washer/dryer/fridge/stove/dishwasher",parkcrest,29 days,997.0,r2761582,rebgv,62.00 feet,7449,2008,36.58,1.0,62,62,15.0,0,2,1,0,1,0
4842 Rumble Street,2859000,6564,,9.0,6.0,house,,freehold nonstrata,"hot water,radiant","drapes/window coverings, garage door opener, security system, smoke alarm","recreation nearby, shopping nearby","refrigerator, stove, washer/dryer/fridge/stove/dishwasher",south slope,29 days,417.0,r2761584,rebgv,66.00 feet,8712,2002,132,0.0,66,66,21.0,0,2,0,0,1,0
7535 Burgess Street,2999999,7525,,8.0,3.0,house,,freehold nonstrata,forced air,smoke alarm,,washer/dryer/fridge/stove/dishwasher,edmonds,29 days,353.0,r2761569,rebgv,58.80 feet,10561,2019,179.6,1.0,58,58,4.0,0,3,0,0,0,0
206 N Ellesmere Avenue,3990000,8230,,8.0,8.0,house,,freehold nonstrata,"heat recovery ventilator, radiant","drapes/window coverings, elevator, garage door opener, heat recovery ventilator, other - see remarks, security system, smoke alarm","air conditioning, central air conditioning, golf course nearby, recreation nearby, sauna, shopping nearby","in suite laundry, microwave, refrigerator, washer/dryer/fridge/stove/dishwasher",capitol hill,29 days,808.0,r2761504,rebgv,63.98 feet,7742,2022,121,0.0,63,63,1.0,0,2,1,0,1,0
6177 Broadway,1598000,4593,,0.0,0.0,house,,freehold nonstrata,,,shopping nearby,,parkcrest,29 days,308.0,r2761420,rebgv,60.00 feet,6720,,112,0.0,60,60,,0,-1,0,0,-1,0
4717 Brentlawn Drive,1999000,5311,,4.0,2.0,house,,freehold nonstrata,"forced air,mixed,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,brentwood park,43 days,1198.0,r2758030,rebgv,55.00 feet,6710,1954,122,0.0,55,55,69.0,0,2,0,0,-1,0
7386 Humphries Avenue,2400000,4665,,3.0,1.0,house,,freehold nonstrata,forced air,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",edmonds,43 days,855.0,r2758350,rebgv,66.00 feet,7458,1918,113,0.0,66,66,105.0,0,2,1,0,-1,0
128 Fell Avenue,1466999,4515,,3.0,2.0,house,,freehold nonstrata,forced air,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,capitol hill,33 days,2045.0,r2760718,rebgv,33.00 feet,4026,1929,122,0.0,33,33,94.0,0,1,0,0,-1,0
